x,y,z,eps_e,layer
0.514772,0.59783,0.646592,0.0324818,bot
0.512619,0.599785,0.673411,0.0558318,bot
0.511587,0.601,0.7,0.0342096,bot
0.512619,0.599785,0.726589,0.0558322,bot
0.514772,0.59783,0.753408,0.0324823,bot
0.495629,0.619591,0.645475,0.125514,bot
0.493809,0.622833,0.672519,0.115753,bot
0.493152,0.624339,0.7,0.104779,bot
0.493809,0.622833,0.727481,0.115754,bot
0.495629,0.619591,0.754525,0.125513,bot
0.477146,0.636633,0.64041,0.174816,bot
0.474697,0.640733,0.669432,0.160246,bot
0.47408,0.642285,0.7,0.168666,bot
0.474697,0.640732,0.730568,0.160246,bot
0.477146,0.636633,0.75959,0.174816,bot
0.453137,0.652262,0.629536,0.0324751,bot
0.449423,0.65775,0.664178,0.0728792,bot
0.4484,0.659561,0.7,0.0506132,bot
0.449423,0.65775,0.735822,0.0728799,bot
0.453137,0.652262,0.770464,0.032475,bot
0.426898,0.681141,0.624572,0.0155811,bot
0.424071,0.685801,0.661444,0.021631,bot
0.423032,0.687641,0.7,0.0411717,bot
0.424071,0.685801,0.738556,0.0216316,bot
0.426898,0.681141,0.775428,0.0155809,bot
0.532567,0.616378,0.646526,0.133175,bot
0.531115,0.618061,0.673482,0.153016,bot
0.530297,0.619221,0.7,0.148271,bot
0.531115,0.618061,0.726517,0.153016,bot
0.532567,0.616378,0.753473,0.133173,bot
0.515695,0.638765,0.645633,0.0992736,bot
0.514198,0.641435,0.672397,0.0514916,bot
0.513541,0.642542,0.7,0.0573964,bot
0.514198,0.641435,0.727603,0.0514918,bot
0.515695,0.638765,0.754367,0.0992738,bot
0.499192,0.657403,0.640331,0.194385,bot
0.49692,0.661259,0.669336,0.192406,bot
0.496254,0.662429,0.7,0.196934,bot
0.49692,0.661259,0.730664,0.192406,bot
0.499192,0.657403,0.759669,0.194386,bot
0.478834,0.678502,0.629934,0.0472343,bot
0.475211,0.683592,0.664311,0.089794,bot
0.474072,0.685175,0.7,0.0677159,bot
0.475211,0.683592,0.735689,0.0897931,bot
0.478834,0.678502,0.770066,0.0472349,bot
0.454759,0.707023,0.624687,0.020249,top
0.451739,0.71121,0.661424,0.018885,top
0.450651,0.712647,0.7,0.0492482,top
0.451739,0.71121,0.738576,0.0188848,top
0.454759,0.707023,0.775313,0.020249,top
0.552811,0.632844,0.646422,0.0619093,bot
0.552033,0.6344,0.673337,0.0689775,bot
0.551392,0.635584,0.7,0.0535841,bot
0.552033,0.6344,0.726663,0.0689766,bot
0.552811,0.632844,0.753578,0.0619085,bot
0.538832,0.654616,0.644668,0.176034,bot
0.537594,0.656821,0.671816,0.119612,bot
0.536918,0.657943,0.7,0.123036,bot
0.537594,0.656821,0.728184,0.119613,bot
0.538832,0.654616,0.755332,0.176035,bot
0.524758,0.674572,0.639279,0.168408,bot
0.522474,0.678264,0.668829,0.156342,bot
0.521778,0.679538,0.7,0.169425,bot
0.522474,0.678264,0.731171,0.156341,bot
0.524758,0.674572,0.760721,0.168409,bot
0.50692,0.699394,0.629121,0.111129,bot
0.503417,0.704608,0.664005,0.119364,top
0.502402,0.706513,0.7,0.108656,top
0.503417,0.704608,0.735995,0.119364,top
0.50692,0.699394,0.770879,0.11113,bot
0.485218,0.730132,0.623897,0.0364564,top
0.482482,0.73445,0.660955,0.0339557,top
0.48138,0.736155,0.7,0.0634991,top
0.482482,0.73445,0.739044,0.0339551,top
0.485218,0.730133,0.776103,0.0364564,top
0.575974,0.645259,0.645934,0.0537427,bot
0.575189,0.646917,0.673137,0.075651,bot
0.574553,0.648281,0.7,0.0618496,bot
0.575189,0.646917,0.726863,0.0756501,bot
0.575974,0.645259,0.754066,0.0537421,bot
0.563568,0.6685,0.64417,0.117174,bot
0.562117,0.671002,0.671679,0.0633332,bot
0.561388,0.672255,0.7,0.0740726,bot
0.562117,0.671002,0.728321,0.0633343,bot
0.563568,0.6685,0.75583,0.117174,bot
0.550878,0.690947,0.63972,0.15659,bot
0.548391,0.695144,0.669158,0.179097,bot
0.547703,0.696379,0.7,0.194899,bot
0.548391,0.695144,0.730842,0.179098,bot
0.550878,0.690947,0.76028,0.156591,bot
0.535524,0.718821,0.630994,0.112662,top
