x,y,z,F00,F01,F02,F10,F11,F12,F20,F21,F22
0.268196,0.268196,0.268196,1.05997,-2.40307e-05,-2.40258e-05,-2.40299e-05,1.05997,-2.40317e-05,-2.40276e-05,-2.40295e-05,1.05997
0.268196,0.268196,0.3,1.05999,-1.00075e-05,2.21223e-09,-1.00063e-05,1.05999,6.12621e-10,1.76413e-09,2.26088e-09,1.0602
0.268196,0.268196,0.331804,1.05997,-2.40351e-05,2.40303e-05,-2.40268e-05,1.05997,2.40332e-05,2.40271e-05,2.40363e-05,1.05997
0.268196,0.3,0.268196,1.05999,-2.07814e-09,-1.00054e-05,-1.31355e-09,1.0602,-1.35205e-09,-1e-05,1.25377e-09,1.05999
0.268195,0.3,0.3,1.06,-3.65728e-09,-7.16069e-10,-7.40902e-10,1.06021,-3.9702e-10,2.58229e-09,1.46836e-10,1.06021
0.268196,0.3,0.331805,1.05999,-5.81064e-09,1.00044e-05,-7.9385e-10,1.0602,1.29001e-10,1.0005e-05,5.00562e-10,1.05999
0.268196,0.331804,0.268196,1.05997,2.40252e-05,-2.4029e-05,2.40204e-05,1.05997,2.40283e-05,-2.40239e-05,2.40317e-05,1.05997
0.268196,0.331805,0.3,1.05999,1.00013e-05,-1.69158e-09,1.00017e-05,1.05999,-8.20135e-10,1.79495e-09,-1.87635e-09,1.0602
0.268196,0.331804,0.331804,1.05997,2.40226e-05,2.40259e-05,2.40243e-05,1.05997,-2.40319e-05,2.4028e-05,-2.4035e-05,1.05997
0.3,0.268196,0.268196,1.0602,8.28092e-10,1.42109e-09,5.66749e-10,1.05999,-1.00089e-05,1.43203e-09,-1.00012e-05,1.05999
0.3,0.268195,0.3,1.06021,-9.08298e-10,1.278e-09,1.61165e-09,1.06,9.03884e-10,2.25344e-09,2.6183e-09,1.06021
0.3,0.268196,0.331805,1.0602,-2.33773e-09,8.38082e-10,9.6893e-10,1.05999,1.00114e-05,-1.91883e-09,1.00141e-05,1.05999
0.3,0.3,0.268195,1.06021,-2.68061e-09,6.97449e-11,-5.6464e-10,1.06021,-3.5891e-10,4.70189e-09,4.11109e-09,1.06
0.3,0.3,0.3,1.06021,-3.78548e-09,-1.62927e-10,-3.11084e-10,1.06021,-2.13618e-11,1.67899e-09,4.80719e-10,1.06021
0.3,0.3,0.331805,1.06021,-4.79529e-09,-3.99245e-10,-5.86822e-11,1.06021,2.67005e-11,-4.07445e-09,-8.67456e-11,1.06
0.3,0.331805,0.268196,1.0602,-6.16967e-09,-9.20148e-10,-4.33586e-09,1.05999,1.00085e-05,6.07905e-09,1.00105e-05,1.05999
0.3,0.331805,0.3,1.06021,-7.06602e-09,-8.87368e-10,-4.95045e-09,1.06,3.37084e-10,2.0597e-09,-1.70546e-09,1.06021
0.3,0.331805,0.331805,1.0602,-7.48171e-09,-1.10772e-09,-3.04185e-09,1.05999,-1.00085e-05,-1.42882e-09,-1.00115e-05,1.05999
0.331804,0.268196,0.268196,1.05997,2.40241e-05,2.40297e-05,2.40299e-05,1.05997,-2.40296e-05,2.40285e-05,-2.40222e-05,1.05997
0.331805,0.268196,0.3,1.05999,1.00007e-05,2.28137e-10,1.00078e-05,1.05999,1.48129e-09,2.54414e-09,7.80287e-10,1.0602
0.331804,0.268196,0.331804,1.05997,2.40237e-05,-2.40307e-05,2.40283e-05,1.05997,2.40338e-05,-2.40306e-05,2.40313e-05,1.05997
0.331805,0.3,0.268196,1.05999,-5.80747e-09,1.00069e-05,4.01654e-12,1.0602,-1.04303e-09,1.00094e-05,5.5966e-09,1.05999
0.331805,0.3,0.3,1.06,-6.90515e-09,-3.91838e-10,-5.72649e-10,1.06021,1.9114e-11,9.63911e-10,2.04451e-11,1.06021
0.331805,0.3,0.331805,1.05999,-7.22034e-09,-1.00081e-05,1.36143e-10,1.0602,8.59783e-10,-1.00101e-05,-1.89134e-10,1.05999
0.331804,0.331804,0.268196,1.05997,-2.4036e-05,2.40279e-05,-2.40301e-05,1.05997,2.40292e-05,2.40328e-05,2.40341e-05,1.05997
0.331805,0.331805,0.3,1.05999,-1.0015e-05,-6.30117e-10,-1.00098e-05,1.05999,3.69698e-10,1.85827e-09,-6.95376e-10,1.0602
0.331804,0.331804,0.331804,1.05997,-2.40344e-05,-2.40284e-05,-2.40282e-05,1.05997,-2.40277e-05,-2.40297e-05,-2.40309e-05,1.05997
